title,url,created,state,whensent,category,lastupdate,latitude,longitude,ward,location
Caravan,https://www.fixmystreet.com/report/122878,"2010-07-04 19:00:35 UTC",confirmed,"2010-07-04 19:05:02 UTC",Other,"2010-07-04 19:05:02 UTC",51.40058458,-2.351277417,Lambridge,"{""latitude"":51.40058458,""longitude"":-2.351277417,""geojson"":{""type"":""Point"",""coordinates"":[-2.351277417,51.40058458]}}"
"Stop Lines at Junction",https://www.fixmystreet.com/report/132054,"2010-09-06 10:25:59 UTC",unconfirmed,,Other,"2010-09-06 10:25:59 UTC",51.37249928,-2.349651049,Widcombe,"{""latitude"":51.37249928,""longitude"":-2.349651049,""geojson"":{""type"":""Point"",""coordinates"":[-2.349651049,51.37249928]}}"
"Carriageway Subsidence",https://www.fixmystreet.com/report/365350,"2013-06-15 09:24:54 UTC","fixed - user","2013-06-15 09:25:09 UTC",Roads/highways,"2015-01-25 17:06:01 UTC",51.42459058,-2.400383547,Charlcombe,"{""latitude"":51.42459058,""longitude"":-2.400383547,""geojson"":{""type"":""Point"",""coordinates"":[-2.400383547,51.42459058]}}"
"Motorcycles damaging trees and paths",https://www.fixmystreet.com/report/475824,"2014-05-18 10:50:07 UTC",confirmed,"2014-05-18 10:55:16 UTC",Pavements/footpaths,"2014-05-18 10:55:16 UTC",51.407135,-2.34052,Swainswick,"{""latitude"":51.407135,""longitude"":-2.34052,""geojson"":{""type"":""Point"",""coordinates"":[-2.34052,51.407135]}}"
"No no entry sign ",https://www.fixmystreet.com/report/18693,"2008-03-19 18:19:54 UTC",confirmed,"2008-03-19 18:25:02 UTC","Road traffic signs","2008-03-19 18:25:02 UTC",51.38031385,-2.362910434,Abbey,"{""latitude"":51.38031385,""longitude"":-2.362910434,""geojson"":{""type"":""Point"",""coordinates"":[-2.362910434,51.38031385]}}"
"Using a disabled space that should not be there.",https://www.fixmystreet.com/report/594353,"2015-02-25 16:50:23 UTC",unconfirmed,,Other,"2015-02-25 16:50:23 UTC",51.397928,-2.300296,Bathford,"{""latitude"":51.397928,""longitude"":-2.300296,""geojson"":{""type"":""Point"",""coordinates"":[-2.300296,51.397928]}}"
"Sunken manhole covers and eroding repairs",https://www.fixmystreet.com/report/445700,"2014-02-25 09:53:23 UTC",confirmed,"2014-02-25 09:55:22 UTC",Potholes,"2014-02-25 09:55:22 UTC",51.40441733,-2.556096698,Whitchurch,"{""latitude"":51.40441733,""longitude"":-2.556096698,""geojson"":{""type"":""Point"",""coordinates"":[-2.556096698,51.40441733]}}"
Pothole,https://www.fixmystreet.com/report/496012,"2014-07-02 00:00:41 UTC",confirmed,"2014-07-02 00:05:18 UTC",Potholes,"2014-07-02 00:05:18 UTC",51.393027,-2.388422,Newbridge,"{""latitude"":51.393027,""longitude"":-2.388422,""geojson"":{""type"":""Point"",""coordinates"":[-2.388422,51.393027]}}"
Potholes,https://www.fixmystreet.com/report/447118,"2014-02-27 20:22:52 UTC",confirmed,"2014-02-27 20:25:22 UTC",Potholes,"2014-02-27 20:25:22 UTC",51.31783596,-2.473305197,Paulton,"{""latitude"":51.31783596,""longitude"":-2.473305197,""geojson"":{""type"":""Point"",""coordinates"":[-2.473305197,51.31783596]}}"
"Builder's skip",https://www.fixmystreet.com/report/79389,"2009-11-09 09:50:43 UTC",fixed,"2009-11-09 10:00:02 UTC",Other,"2009-12-07 10:58:01 UTC",51.39355379,-2.348166079,Walcot,"{""latitude"":51.39355379,""longitude"":-2.348166079,""geojson"":{""type"":""Point"",""coordinates"":[-2.348166079,51.39355379]}}"
Graffiti,https://www.fixmystreet.com/report/5036,"2007-06-05 22:14:20 UTC",unconfirmed,,Graffiti,"2007-06-05 22:14:20 UTC",51.39740397,-2.345621378,Lambridge,"{""latitude"":51.39740397,""longitude"":-2.345621378,""geojson"":{""type"":""Point"",""coordinates"":[-2.345621378,51.39740397]}}"
"Street Lighting not working",https://www.fixmystreet.com/report/359665,"2013-05-24 11:29:04 UTC",confirmed,"2013-05-24 11:30:10 UTC","Street lighting","2013-05-24 11:30:10 UTC",51.40026965,-2.39305587,Weston,"{""latitude"":51.40026965,""longitude"":-2.39305587,""geojson"":{""type"":""Point"",""coordinates"":[-2.39305587,51.40026965]}}"
"Lots of Potholes",https://www.fixmystreet.com/report/583945,"2015-02-08 21:16:10 UTC","fixed - user","2015-02-08 21:20:24 UTC",Potholes,"2015-10-15 07:36:00 UTC",51.41480139,-2.393143953,Charlcombe,"{""latitude"":51.41480139,""longitude"":-2.393143953,""geojson"":{""type"":""Point"",""coordinates"":[-2.393143953,51.41480139]}}"
"Over grown hedgerow",https://www.fixmystreet.com/report/181758,"2011-04-27 11:13:45 UTC",fixed,"2011-04-27 12:30:02 UTC",Trees,"2011-06-23 06:09:13 UTC",51.345229,-2.4833,Farmborough,"{""latitude"":51.345229,""longitude"":-2.4833,""geojson"":{""type"":""Point"",""coordinates"":[-2.4833,51.345229]}}"
"People often putting out rubbish several days early",https://www.fixmystreet.com/report/60843,"2009-06-09 10:40:59 UTC",confirmed,"2009-06-09 10:45:02 UTC","Rubbish (refuse and recycling)","2009-06-09 10:45:02 UTC",51.29885124,-2.457727587,Radstock,"{""latitude"":51.29885124,""longitude"":-2.457727587,""geojson"":{""type"":""Point"",""coordinates"":[-2.457727587,51.29885124]}}"
"Flooding - No drains to take water away",https://www.fixmystreet.com/report/431453,"2014-01-31 14:24:31 UTC",confirmed,"2014-01-31 14:32:13 UTC",Pavements/footpaths,"2014-01-31 14:32:13 UTC",51.383216,-2.397671,Newbridge,"{""latitude"":51.383216,""longitude"":-2.397671,""geojson"":{""type"":""Point"",""coordinates"":[-2.397671,51.383216]}}"
Test,https://www.fixmystreet.com/report/257924,"2012-06-15 13:58:42 UTC",unconfirmed,,"Abandoned vehicles","2012-06-15 13:58:42 UTC",51.38427791,-2.36806292,Kingsmead,"{""latitude"":51.38427791,""longitude"":-2.36806292,""geojson"":{""type"":""Point"",""coordinates"":[-2.36806292,51.38427791]}}"
"Overgrown Hedge ",https://www.fixmystreet.com/report/273,"2007-02-26 16:56:05 UTC",unconfirmed,,Other,"2007-02-26 16:56:05 UTC",51.36097057,-2.34933244,"Combe Down","{""latitude"":51.36097057,""longitude"":-2.34933244,""geojson"":{""type"":""Point"",""coordinates"":[-2.34933244,51.36097057]}}"
"Blocked drain",https://www.fixmystreet.com/report/29817,"2008-09-07 20:50:08 UTC",unconfirmed,,Other,"2008-09-07 20:50:08 UTC",51.37826672,-2.510689055,Farmborough,"{""latitude"":51.37826672,""longitude"":-2.510689055,""geojson"":{""type"":""Point"",""coordinates"":[-2.510689055,51.37826672]}}"
"Rubbish and recylcing",https://www.fixmystreet.com/report/46861,"2009-03-02 12:49:23 UTC",fixed,"2009-03-02 12:55:02 UTC","Rubbish (refuse and recycling)","2009-03-31 09:30:18 UTC",51.3944809,-2.345517193,Walcot,"{""latitude"":51.3944809,""longitude"":-2.345517193,""geojson"":{""type"":""Point"",""coordinates"":[-2.345517193,51.3944809]}}"
"Hazardous road surface, Junction off of Publow Lane onto unnamed Lane",https://www.fixmystreet.com/report/651844,"2015-06-23 12:04:58 UTC",confirmed,"2015-06-23 12:10:24 UTC",Roads/highways,"2015-06-23 12:10:24 UTC",51.376874,-2.541595,Publow,"{""latitude"":51.376874,""longitude"":-2.541595,""geojson"":{""type"":""Point"",""coordinates"":[-2.541595,51.376874]}}"
"Dangerous steps",https://www.fixmystreet.com/report/170631,"2011-03-04 10:13:33 UTC",unconfirmed,,Pavements/footpaths,"2011-03-04 10:13:33 UTC",51.40857703,-2.316944453,Batheaston,"{""latitude"":51.40857703,""longitude"":-2.316944453,""geojson"":{""type"":""Point"",""coordinates"":[-2.316944453,51.40857703]}}"
"Broken street light",https://www.fixmystreet.com/report/457348,"2014-03-22 22:20:27 UTC",confirmed,"2014-03-22 22:25:16 UTC","Street lighting","2014-03-22 22:25:16 UTC",51.35257768,-2.364333984,Southstoke,"{""latitude"":51.35257768,""longitude"":-2.364333984,""geojson"":{""type"":""Point"",""coordinates"":[-2.364333984,51.35257768]}}"
"Road falling apart",https://www.fixmystreet.com/report/486012,"2014-06-09 16:21:15 UTC",confirmed,"2014-06-09 16:25:10 UTC",Roads/highways,"2014-06-09 16:25:10 UTC",51.27782696,-2.49845768,"Midsomer Norton","{""latitude"":51.27782696,""longitude"":-2.49845768,""geojson"":{""type"":""Point"",""coordinates"":[-2.49845768,51.27782696]}}"
