epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1685.81,0.30498,0.97849,1,0.06292,0.00333195,0.00333195,0.00333195
2,3343.41,0.12928,0.98072,1,0.05781,0.00633535,0.00633535,0.00633535
3,5041.09,0.16308,0.96994,1,0.09082,0.00900876,0.00900876,0.00900876
4,6832.03,0.17661,0.97834,1,0.06176,0.008515,0.008515,0.008515
5,8660.47,0.12071,0.98186,1,0.04666,0.00802,0.00802,0.00802
6,10397.2,0.11124,0.98414,1,0.03995,0.007525,0.007525,0.007525
7,12134,0.09573,0.98655,1,0.03467,0.00703,0.00703,0.00703
8,13860.1,0.08275,0.98738,1,0.03187,0.006535,0.006535,0.006535
9,15602.9,0.07829,0.98831,1,0.02697,0.00604,0.00604,0.00604
10,17360.9,0.07057,0.98878,1,0.02467,0.005545,0.005545,0.005545
11,19112.6,0.06581,0.98945,1,0.0231,0.00505,0.00505,0.00505
12,20861,0.05982,0.9907,1,0.02058,0.004555,0.004555,0.004555
13,22601.1,0.05518,0.99083,1,0.01915,0.00406,0.00406,0.00406
14,24354.8,0.05281,0.99119,1,0.01828,0.003565,0.003565,0.003565
15,26133.8,0.04851,0.99132,1,0.01755,0.00307,0.00307,0.00307
16,27920.7,0.04158,0.99194,1,0.01642,0.002575,0.002575,0.002575
17,29756.8,0.04204,0.99223,1,0.01573,0.00208,0.00208,0.00208
18,31552.3,0.03659,0.99251,1,0.01495,0.001585,0.001585,0.001585
19,33349.9,0.03359,0.99238,1,0.01484,0.00109,0.00109,0.00109
20,35176.1,0.03136,0.99256,1,0.01461,0.000595,0.000595,0.000595
